literal	qid
adj.	Q11
s.	Q5
adj.adv.	Q12
adj.p.	Q13
adj.pers.	Q14
adj.poses.	Q15
adj.pron.	Q16
adj.s.	Q17
adv.	Q18
adv.afirm.	Q19
adv.c.	Q20
adv.fin.	Q21
adv.int.	Q22
adv.l.	Q23
adv.l.pron.	Q24
adv.l.t.	Q25
adv.m	Q26
adv.m.	Q27
adv.m., conj.	Q28
adv.neg.	Q29
adv.preadj.	Q30
adv.preadj.pron.	Q31
adv.t.	Q32
art.def.	Q33
conj.	Q34
ej.	Q35
expr.	Q36
expr.adv.	Q37
expr.s.a.	Q38
expr.v.	Q39
expr.v.aux.	Q40
expr.v.intr.	Q41
expr.v.mod.	Q42
f.v.aux.	Q43
fon.	Q44
interj.	Q45
interj.onom.	Q46
num.c.	Q47
num.fract.	Q48
num.ind.	Q49
num.indef.	Q50
num.o.	Q51
p.	Q52
p.adj.	Q53
p.p.	Q54
p.p.p.	Q55
p.pr.act.	Q56
p.s.	Q57
postpos.	Q58
postpos., conj.	Q59
postpos.adv.m.	Q60
postpos.num.ord.	Q61
prep.	Q62
pron.	Q63
pron.def.	Q64
pron.dem.	Q65
pron.impers.	Q66
pron.indef.	Q67
pron.int.	Q68
pron.pers.	Q69
pron.pok.	Q70
pron.pos.	Q71
pron.rel.	Q72
s.a.	Q73
s.adj.	Q74
s.expr.	Q75
s.onom.	Q76
s.p.	Q77
s.pr.	Q78
s.tr.	Q79
suf.	Q80
suf.am.	Q81
suf.am.int.	Q82
suf.no.	Q83
suf.ve.	Q84
v.	Q6
v.aux.	Q86
v.cop.	Q87
v.dic.	Q88
v.impers.	Q89
v.interr.	Q90
v.intr.	Q91
v.intr.onom.	Q92
v.mod.	Q93
v.mod.pron.	Q94
v.mov.	Q95
v.pron.	Q96
v.recip.	Q97
v.refl.	Q98
v.tr.	Q99